name,filter_type_two,ABV,color,image
애플 마티니,short,34.6,9bfd9b,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/애플 마티니.jpg
B-52,shot,25.7,946b40,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/B-52.jpg
바카디 칵테일,short,32.7,a54942,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/바카디 칵테일.jpg
블랙 러시안,short,33.1,0e141f,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/블랙 러시안.jpg
블러디 메리,long,13.3,b3430e,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/블러디 메리.jpg
블로우 잡,shot,15.0,decaaf,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/블로우 잡.jpg
블루 하와이,long,10.9,c1b17b,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/블루 하와이.jpg
블루 카미카제,short,30.0,304fd9,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/블루 카미카제.jpg
블루 라군,long,10.0,d5dace,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/블루 라군.jpg
블루 오션,short,16.7,b56176,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/블루 오션.jpg
BMW,short,26.0,e8a86d,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/BMW.jpg
보일러 메이커,long,8.9,f18d1f,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/보일러 메이커.jpg
브랜디 에그노그,short,15.7,d5ac8f,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/브랜디 에그노그.jpg
브롱크스,short,28.5,f6c47c,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/브롱크스.jpg
코스모폴리탄,short,25.9,72131d,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/코스모폴리탄.jpg
쿠바 리브레,long,11.8,3c3024,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/쿠바 리브레.jpg
다이키리,short,34.3,d4955f,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/다이키리.jpg
더티 마티니,short,32.2,f7ed79,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/더티 마티니.jpg
에스프레소 마티니,short,21.7,533f32,https://cdn.diffords.com/contrib/stock-images/2016/7/54/201616fbdccab7d36fb4ccbe0ed3d40976bc.jpg
깁슨,short,36.9,ffffcc,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/깁슨.jpg
김렛,short,32.0,d4955f,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/김렛.jpg
진피즈,long,13.3,d4955f,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/진피즈.jpg
진토닉,long,13.3,ffffff,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/진토닉.jpg
갓파더,short,34.0,c49046,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/갓파더.jpg
갓마더,short,34.0,c4a484,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/갓마더.jpg
골드 러쉬,short,33.8,f1a762,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/골드 러쉬.jpg
그래스호퍼,short,16.0,6fab70,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/그래스호퍼.jpg
그린 멕시칸,shot,24.0,478121,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/그린 멕시칸.jpg
하비 월뱅어,long,15.0,e5ae51,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/하비 월뱅어.jpg
하이볼,long,11.4,ed8a37,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/하이볼.jpg
핫 토디,shot,12.4,ec8a37,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/핫 토디.jpg
허리케인,long,25.6,c18e2d,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/허리케인.jpg
잭콕,short,10.0,5b3a21,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/잭콕.jpg
예거밤,long,10.0,803f06,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/예거밤.jpg
젤리피쉬,shot,23.3,cca385,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/젤리피쉬.jpg
키르,short,11.0,e4d0c3,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/키르.jpg
레이디킬러,long,12.0,ebd353,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/레이디킬러.jpg
런던콜링,short,29.1,953d45,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/런던콜링.jpg
롱아일랜드 아이스티,long,28.6,a1734b,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/롱아일랜드 아이스티.jpg
마이타이,short,30.5,86452a,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/마이타이.jpg
